exp_name,srx,srr
jurkat_mRNA_16_1_L003,SRX24257942,SRR28689925
jurkat_sgRNA_16_1_L003,SRX24257943,SRR28689924
jurkat_mRNA_16_1_L004,SRX24257944,SRR28689923
jurkat_sgRNA_16_1_L004,SRX24257945,SRR28689922
jurkat_mRNA_16_2_L001,SRX24257946,SRR28689921
jurkat_sgRNA_16_2_L001,SRX24257947,SRR28689920
jurkat_sgRNA_2_3_L001,SRX24257948,SRR28689919
jurkat_sgRNA_18_2_L002,SRX24257949,SRR28689918
jurkat_mRNA_18_2_L003,SRX24257950,SRR28689917
jurkat_sgRNA_18_2_L003,SRX24257951,SRR28689916
jurkat_mRNA_18_2_L004,SRX24257952,SRR28689915
jurkat_sgRNA_18_2_L004,SRX24257953,SRR28689914
jurkat_mRNA_2_4_L001,SRX24257954,SRR28689913
jurkat_mRNA_18_3_L001,SRX24257955,SRR28689912
jurkat_sgRNA_18_3_L001,SRX24257956,SRR28689911
jurkat_mRNA_18_3_L002,SRX24257957,SRR28689910
jurkat_sgRNA_18_3_L002,SRX24257958,SRR28689909
jurkat_mRNA_18_3_L003,SRX24257959,SRR28689908
jurkat_sgRNA_18_3_L003,SRX24257960,SRR28689907
jurkat_mRNA_18_3_L004,SRX24257961,SRR28689906
jurkat_sgRNA_18_3_L004,SRX24257962,SRR28689905
jurkat_mRNA_18_4_L001,SRX24257963,SRR28689904
jurkat_sgRNA_18_4_L001,SRX24257964,SRR28689903
jurkat_sgRNA_2_4_L001,SRX24257965,SRR28689902
jurkat_mRNA_18_4_L002,SRX24257966,SRR28689901
jurkat_sgRNA_18_4_L002,SRX24257967,SRR28689900
jurkat_mRNA_18_4_L003,SRX24257968,SRR28689899
jurkat_sgRNA_18_4_L003,SRX24257969,SRR28689898
jurkat_mRNA_18_4_L004,SRX24257970,SRR28689897
jurkat_sgRNA_18_4_L004,SRX24257971,SRR28689896
jurkat_mRNA_19_1_L001,SRX24257972,SRR28689895
jurkat_sgRNA_19_3_L004,SRX24257973,SRR28689894
jurkat_mRNA_1_1_L004,SRX24257974,SRR28689893
jurkat_mRNA_2_4_L003,SRX24257975,SRR28689892
jurkat_mRNA_19_4_L001,SRX24257976,SRR28689891
jurkat_sgRNA_19_4_L001,SRX24257977,SRR28689890
jurkat_mRNA_19_4_L002,SRX24257978,SRR28689889
jurkat_sgRNA_19_4_L002,SRX24257979,SRR28689888
jurkat_mRNA_19_4_L003,SRX24257980,SRR28689887
jurkat_sgRNA_19_4_L003,SRX24257981,SRR28689886
jurkat_mRNA_19_4_L004,SRX24257982,SRR28689885
jurkat_sgRNA_19_4_L004,SRX24257983,SRR28689884
jurkat_mRNA_20_1_L001,SRX24257984,SRR28689883
jurkat_sgRNA_20_1_L001,SRX24257985,SRR28689882
jurkat_sgRNA_2_4_L003,SRX24257986,SRR28689881
jurkat_mRNA_20_1_L002,SRX24257987,SRR28689880
jurkat_sgRNA_20_1_L002,SRX24257988,SRR28689879
jurkat_mRNA_20_1_L003,SRX24257989,SRR28689878
jurkat_sgRNA_20_1_L003,SRX24257990,SRR28689877
jurkat_mRNA_20_1_L004,SRX24257991,SRR28689876
jurkat_sgRNA_20_1_L004,SRX24257992,SRR28689875
jurkat_mRNA_20_2_L001,SRX24257993,SRR28689874
jurkat_sgRNA_20_2_L001,SRX24257994,SRR28689873
jurkat_mRNA_20_2_L002,SRX24257995,SRR28689872
jurkat_sgRNA_20_2_L002,SRX24257996,SRR28689871
jurkat_sgRNA_22_2_L003,SRX24257997,SRR28689870
jurkat_mRNA_22_2_L004,SRX24257998,SRR28689869
jurkat_sgRNA_22_2_L004,SRX24257999,SRR28689868
jurkat_mRNA_22_3_L001,SRX24258000,SRR28689867
jurkat_sgRNA_22_3_L001,SRX24258001,SRR28689866
jurkat_sgRNA_3_1_L003,SRX24258002,SRR28689865
jurkat_mRNA_22_3_L002,SRX24258003,SRR28689864
jurkat_sgRNA_22_3_L002,SRX24258004,SRR28689863
jurkat_mRNA_22_3_L003,SRX24258005,SRR28689862
jurkat_sgRNA_22_3_L003,SRX24258006,SRR28689861
jurkat_mRNA_22_3_L004,SRX24258007,SRR28689860
jurkat_sgRNA_22_3_L004,SRX24258008,SRR28689859
jurkat_mRNA_22_4_L001,SRX24258009,SRR28689858
jurkat_sgRNA_22_4_L001,SRX24258010,SRR28689857
jurkat_mRNA_22_4_L002,SRX24258011,SRR28689856
jurkat_sgRNA_22_4_L002,SRX24258012,SRR28689855
jurkat_sgRNA_1_1_L004,SRX24258013,SRR28689854
jurkat_mRNA_3_1_L004,SRX24258014,SRR28689853
jurkat_mRNA_22_4_L003,SRX24258015,SRR28689852
jurkat_sgRNA_22_4_L003,SRX24258016,SRR28689851
jurkat_mRNA_22_4_L004,SRX24258017,SRR28689850
jurkat_sgRNA_22_4_L004,SRX24258018,SRR28689849
jurkat_mRNA_23_1_L001,SRX24258019,SRR28689848
jurkat_sgRNA_23_1_L001,SRX24258020,SRR28689847
jurkat_mRNA_27_4_L002,SRX24258021,SRR28689846
jurkat_sgRNA_27_4_L002,SRX24258022,SRR28689845
jurkat_mRNA_3_3_L004,SRX24258023,SRR28689844
jurkat_mRNA_27_4_L003,SRX24258024,SRR28689843
jurkat_sgRNA_27_4_L003,SRX24258025,SRR28689842
jurkat_mRNA_27_4_L004,SRX24258026,SRR28689841
jurkat_sgRNA_27_4_L004,SRX24258027,SRR28689840
jurkat_mRNA_28_1_L001,SRX24258028,SRR28689839
jurkat_sgRNA_28_1_L001,SRX24258029,SRR28689838
jurkat_mRNA_28_1_L002,SRX24258030,SRR28689837
jurkat_sgRNA_28_1_L002,SRX24258031,SRR28689836
jurkat_mRNA_28_1_L003,SRX24258032,SRR28689835
jurkat_sgRNA_28_1_L003,SRX24258033,SRR28689834
jurkat_sgRNA_3_3_L004,SRX24258034,SRR28689833
jurkat_mRNA_28_1_L004,SRX24258035,SRR28689832
jurkat_sgRNA_28_1_L004,SRX24258036,SRR28689831
jurkat_mRNA_28_2_L001,SRX24258037,SRR28689830
jurkat_sgRNA_28_2_L001,SRX24258038,SRR28689829
