exp_name,srx,srr
jurkat_mRNA_23_3_L001,SRX24258283,SRR28690094
jurkat_sgRNA_23_3_L001,SRX24258284,SRR28690093
jurkat_mRNA_23_3_L002,SRX24258285,SRR28690092
jurkat_sgRNA_23_3_L002,SRX24258286,SRR28690091
jurkat_mRNA_23_3_L003,SRX24258287,SRR28690090
jurkat_sgRNA_23_3_L003,SRX24258288,SRR28690089
jurkat_mRNA_23_3_L004,SRX24258289,SRR28690088
jurkat_sgRNA_23_3_L004,SRX24258290,SRR28690087
jurkat_sgRNA_25_1_L002,SRX24258291,SRR28690086
jurkat_mRNA_25_1_L003,SRX24258292,SRR28690085
jurkat_sgRNA_25_1_L003,SRX24258293,SRR28690084
jurkat_mRNA_25_1_L004,SRX24258294,SRR28690083
jurkat_sgRNA_25_1_L004,SRX24258295,SRR28690082
jurkat_mRNA_25_2_L001,SRX24258296,SRR28690081
jurkat_sgRNA_25_2_L001,SRX24258297,SRR28690080
jurkat_mRNA_25_2_L002,SRX24258298,SRR28690079
jurkat_sgRNA_25_2_L002,SRX24258299,SRR28690078
jurkat_mRNA_3_2_L004,SRX24258300,SRR28690077
jurkat_mRNA_25_2_L003,SRX24258301,SRR28690076
jurkat_sgRNA_25_2_L003,SRX24258302,SRR28690075
jurkat_mRNA_25_2_L004,SRX24258303,SRR28690074
jurkat_sgRNA_25_2_L004,SRX24258304,SRR28690073
jurkat_mRNA_25_3_L001,SRX24258305,SRR28690072
jurkat_sgRNA_25_3_L001,SRX24258306,SRR28690071
jurkat_mRNA_25_3_L002,SRX24258307,SRR28690070
jurkat_sgRNA_25_3_L002,SRX24258308,SRR28690069
jurkat_mRNA_25_3_L003,SRX24258309,SRR28690068
jurkat_sgRNA_25_3_L003,SRX24258310,SRR28690067
jurkat_sgRNA_3_2_L004,SRX24258311,SRR28690066
jurkat_mRNA_25_3_L004,SRX24258312,SRR28690065
jurkat_sgRNA_25_3_L004,SRX24258313,SRR28690064
jurkat_mRNA_25_4_L001,SRX24258314,SRR28690063
jurkat_mRNA_26_2_L004,SRX24258315,SRR28690062
jurkat_sgRNA_26_2_L004,SRX24258316,SRR28690061
jurkat_mRNA_26_3_L001,SRX24258317,SRR28690060
jurkat_sgRNA_26_3_L001,SRX24258318,SRR28690059
jurkat_mRNA_26_3_L002,SRX24258319,SRR28690058
jurkat_sgRNA_26_3_L002,SRX24258320,SRR28690057
jurkat_mRNA_3_3_L002,SRX24258321,SRR28690056
jurkat_mRNA_26_3_L003,SRX24258322,SRR28690055
jurkat_sgRNA_26_3_L003,SRX24258323,SRR28690054
jurkat_mRNA_26_3_L004,SRX24258324,SRR28690053
jurkat_sgRNA_26_3_L004,SRX24258325,SRR28690052
jurkat_mRNA_26_4_L001,SRX24258326,SRR28690051
jurkat_sgRNA_26_4_L001,SRX24258327,SRR28690050
jurkat_mRNA_26_4_L002,SRX24258328,SRR28690049
jurkat_sgRNA_26_4_L002,SRX24258329,SRR28690048
jurkat_mRNA_26_4_L003,SRX24258330,SRR28690047
jurkat_sgRNA_26_4_L003,SRX24258331,SRR28690046
jurkat_sgRNA_3_3_L002,SRX24258332,SRR28690045
jurkat_mRNA_26_4_L004,SRX24258333,SRR28690044
jurkat_sgRNA_26_4_L004,SRX24258334,SRR28690043
jurkat_mRNA_27_1_L001,SRX24258335,SRR28690042
jurkat_sgRNA_27_1_L001,SRX24258336,SRR28690041
jurkat_mRNA_27_1_L002,SRX24258337,SRR28690040
jurkat_sgRNA_27_1_L002,SRX24258338,SRR28690039
jurkat_mRNA_3_4_L001,SRX24258339,SRR28690038
jurkat_mRNA_28_3_L001,SRX24258340,SRR28690037
jurkat_sgRNA_28_3_L001,SRX24258341,SRR28690036
jurkat_mRNA_28_3_L002,SRX24258342,SRR28690035
jurkat_sgRNA_28_3_L002,SRX24258343,SRR28690034
jurkat_mRNA_28_3_L003,SRX24258344,SRR28690033
jurkat_sgRNA_28_3_L003,SRX24258345,SRR28690032
jurkat_mRNA_28_3_L004,SRX24258346,SRR28690031
jurkat_sgRNA_28_3_L004,SRX24258347,SRR28690030
jurkat_mRNA_28_4_L001,SRX24258348,SRR28690029
jurkat_sgRNA_28_4_L001,SRX24258349,SRR28690028
jurkat_sgRNA_3_4_L001,SRX24258350,SRR28690027
jurkat_sgRNA_8_4_L004,SRX24258351,SRR28690536
jurkat_mRNA_9_1_L001,SRX24258352,SRR28690535
jurkat_sgRNA_9_1_L001,SRX24258353,SRR28690534
jurkat_mRNA_9_1_L002,SRX24258354,SRR28690533
jurkat_sgRNA_9_1_L002,SRX24258355,SRR28690532
jurkat_mRNA_1_4_L002,SRX24258356,SRR28690531
jurkat_mRNA_9_1_L003,SRX24258357,SRR28690530
jurkat_sgRNA_9_1_L003,SRX24258358,SRR28690529
jurkat_mRNA_9_1_L004,SRX24258359,SRR28690528
jurkat_sgRNA_9_1_L004,SRX24258360,SRR28690527
jurkat_mRNA_9_2_L001,SRX24258361,SRR28690526
jurkat_sgRNA_9_2_L001,SRX24258362,SRR28690525
jurkat_mRNA_9_2_L002,SRX24258363,SRR28690524
jurkat_sgRNA_9_2_L002,SRX24258364,SRR28690523
jurkat_mRNA_9_2_L003,SRX24258365,SRR28690522
jurkat_sgRNA_9_2_L003,SRX24258366,SRR28690521
jurkat_sgRNA_1_4_L002,SRX24258367,SRR28690520
jurkat_mRNA_9_2_L004,SRX24258368,SRR28690519
jurkat_sgRNA_9_2_L004,SRX24258369,SRR28690518
jurkat_mRNA_9_3_L001,SRX24258370,SRR28690517
jurkat_sgRNA_9_3_L001,SRX24258371,SRR28690516
jurkat_mRNA_12_2_L001,SRX24258372,SRR28690515
jurkat_sgRNA_12_2_L001,SRX24258373,SRR28690514
jurkat_mRNA_12_2_L002,SRX24258374,SRR28690513
jurkat_sgRNA_12_2_L002,SRX24258375,SRR28690512
jurkat_mRNA_12_2_L003,SRX24258376,SRR28690511
jurkat_sgRNA_12_2_L003,SRX24258377,SRR28690510
jurkat_mRNA_12_2_L004,SRX24258378,SRR28690509
jurkat_sgRNA_12_2_L004,SRX24258379,SRR28690508
jurkat_mRNA_12_3_L001,SRX24258380,SRR28690507
jurkat_sgRNA_12_3_L001,SRX24258381,SRR28690506
jurkat_sgRNA_2_1_L003,SRX24258382,SRR28690505
jurkat_mRNA_12_3_L002,SRX24258383,SRR28690504
jurkat_sgRNA_12_3_L002,SRX24258384,SRR28690503
jurkat_mRNA_12_3_L003,SRX24258385,SRR28690502
jurkat_sgRNA_12_3_L003,SRX24258386,SRR28690501
jurkat_mRNA_12_3_L004,SRX24258387,SRR28690500
jurkat_sgRNA_12_3_L004,SRX24258388,SRR28690499
jurkat_mRNA_12_4_L001,SRX24258389,SRR28690498
jurkat_sgRNA_12_4_L001,SRX24258390,SRR28690497
jurkat_mRNA_12_4_L002,SRX24258391,SRR28690496
jurkat_sgRNA_12_4_L002,SRX24258392,SRR28690495
jurkat_mRNA_2_1_L004,SRX24258393,SRR28690494
jurkat_mRNA_12_4_L003,SRX24258394,SRR28690493
jurkat_sgRNA_12_4_L003,SRX24258395,SRR28690492
jurkat_mRNA_12_4_L004,SRX24258396,SRR28690491
jurkat_sgRNA_12_4_L004,SRX24258397,SRR28690490
jurkat_mRNA_13_1_L001,SRX24258398,SRR28690489
jurkat_sgRNA_13_1_L001,SRX24258399,SRR28690488
jurkat_mRNA_13_1_L002,SRX24258400,SRR28690487
jurkat_sgRNA_13_1_L002,SRX24258401,SRR28690486
jurkat_mRNA_13_1_L003,SRX24258402,SRR28690485
jurkat_sgRNA_13_1_L003,SRX24258403,SRR28690484
jurkat_sgRNA_2_1_L004,SRX24258404,SRR28690483
jurkat_mRNA_13_1_L004,SRX24258405,SRR28690482
jurkat_sgRNA_13_1_L004,SRX24258406,SRR28690481
jurkat_mRNA_13_2_L001,SRX24258407,SRR28690480
jurkat_sgRNA_13_2_L001,SRX24258408,SRR28690479
jurkat_mRNA_13_2_L002,SRX24258409,SRR28690478
jurkat_sgRNA_13_2_L002,SRX24258410,SRR28690477
jurkat_mRNA_13_2_L003,SRX24258411,SRR28690476
jurkat_sgRNA_13_2_L003,SRX24258412,SRR28690475
jurkat_mRNA_13_2_L004,SRX24258413,SRR28690474
jurkat_sgRNA_13_2_L004,SRX24258414,SRR28690473
jurkat_mRNA_1_1_L003,SRX24258415,SRR28690472
jurkat_mRNA_2_2_L001,SRX24258416,SRR28690471
jurkat_mRNA_13_3_L001,SRX24258417,SRR28690470
jurkat_sgRNA_13_3_L001,SRX24258418,SRR28690469
jurkat_mRNA_13_3_L002,SRX24258419,SRR28690468
jurkat_sgRNA_14_2_L001,SRX24258420,SRR28690467
jurkat_mRNA_14_2_L002,SRX24258421,SRR28690466
jurkat_sgRNA_14_2_L002,SRX24258422,SRR28690465
jurkat_mRNA_14_2_L003,SRX24258423,SRR28690464
jurkat_sgRNA_14_2_L003,SRX24258424,SRR28690463
jurkat_sgRNA_2_2_L002,SRX24258425,SRR28690462
jurkat_mRNA_14_2_L004,SRX24258426,SRR28690461
jurkat_sgRNA_14_2_L004,SRX24258427,SRR28690460
jurkat_mRNA_14_3_L001,SRX24258428,SRR28690459
jurkat_sgRNA_14_3_L001,SRX24258429,SRR28690458
jurkat_mRNA_14_3_L002,SRX24258430,SRR28690457
jurkat_sgRNA_14_3_L002,SRX24258431,SRR28690456
jurkat_mRNA_14_3_L003,SRX24258432,SRR28690455
jurkat_sgRNA_14_3_L003,SRX24258433,SRR28690454
jurkat_mRNA_14_3_L004,SRX24258434,SRR28690453
jurkat_sgRNA_14_3_L004,SRX24258435,SRR28690452
jurkat_mRNA_2_2_L003,SRX24258436,SRR28690451
jurkat_mRNA_14_4_L001,SRX24258437,SRR28690450
jurkat_sgRNA_14_4_L001,SRX24258438,SRR28690449
jurkat_mRNA_14_4_L002,SRX24258439,SRR28690448
jurkat_sgRNA_14_4_L002,SRX24258440,SRR28690447
jurkat_mRNA_14_4_L003,SRX24258441,SRR28690446
jurkat_sgRNA_14_4_L003,SRX24258442,SRR28690445
jurkat_mRNA_14_4_L004,SRX24258443,SRR28690444
jurkat_sgRNA_16_4_L004,SRX24258444,SRR28690443
jurkat_mRNA_17_1_L001,SRX24258445,SRR28690442
jurkat_sgRNA_17_1_L001,SRX24258446,SRR28690441
jurkat_mRNA_17_1_L002,SRX24258447,SRR28690440
jurkat_sgRNA_17_1_L002,SRX24258448,SRR28690439
jurkat_mRNA_17_1_L003,SRX24258449,SRR28690438
jurkat_sgRNA_17_1_L003,SRX24258450,SRR28690437
jurkat_mRNA_17_1_L004,SRX24258451,SRR28690436
jurkat_sgRNA_17_1_L004,SRX24258452,SRR28690435
jurkat_mRNA_2_3_L003,SRX24258453,SRR28690434
jurkat_mRNA_17_2_L001,SRX24258454,SRR28690433
jurkat_sgRNA_17_2_L001,SRX24258455,SRR28690432
jurkat_mRNA_17_2_L002,SRX24258456,SRR28690431
jurkat_sgRNA_17_2_L002,SRX24258457,SRR28690430
jurkat_mRNA_17_2_L003,SRX24258458,SRR28690429
jurkat_sgRNA_17_2_L003,SRX24258459,SRR28690428
jurkat_mRNA_17_2_L004,SRX24258460,SRR28690427
jurkat_sgRNA_17_2_L004,SRX24258461,SRR28690426
jurkat_mRNA_17_3_L001,SRX24258462,SRR28690425
jurkat_sgRNA_17_3_L001,SRX24258463,SRR28690424
jurkat_sgRNA_2_3_L003,SRX24258464,SRR28690423
jurkat_mRNA_17_3_L002,SRX24258465,SRR28690422
jurkat_sgRNA_17_3_L002,SRX24258466,SRR28690421
jurkat_mRNA_17_3_L003,SRX24258467,SRR28690420
jurkat_sgRNA_21_1_L001,SRX24258468,SRR28690419
jurkat_mRNA_21_1_L002,SRX24258469,SRR28690418
jurkat_sgRNA_21_1_L002,SRX24258470,SRR28690417
jurkat_mRNA_21_1_L003,SRX24258471,SRR28690416
jurkat_sgRNA_21_1_L003,SRX24258472,SRR28690415
jurkat_mRNA_21_1_L004,SRX24258473,SRR28690414
jurkat_sgRNA_21_1_L004,SRX24258474,SRR28690413
jurkat_mRNA_21_2_L001,SRX24258475,SRR28690412
jurkat_sgRNA_21_2_L001,SRX24258476,SRR28690411
jurkat_sgRNA_3_1_L001,SRX24258477,SRR28690410
jurkat_mRNA_21_2_L002,SRX24258478,SRR28690409
jurkat_sgRNA_21_2_L002,SRX24258479,SRR28690408
jurkat_mRNA_21_2_L003,SRX24258480,SRR28690407
jurkat_sgRNA_21_2_L003,SRX24258481,SRR28690406
jurkat_mRNA_21_2_L004,SRX24258482,SRR28690405
jurkat_sgRNA_21_2_L004,SRX24258483,SRR28690404
jurkat_mRNA_21_3_L001,SRX24258484,SRR28690403
jurkat_sgRNA_21_3_L001,SRX24258485,SRR28690402
jurkat_mRNA_21_3_L002,SRX24258486,SRR28690401
jurkat_sgRNA_21_3_L002,SRX24258487,SRR28690400
jurkat_mRNA_3_1_L002,SRX24258488,SRR28690399
jurkat_mRNA_21_3_L003,SRX24258489,SRR28690398
jurkat_sgRNA_21_3_L003,SRX24258490,SRR28690397
jurkat_mRNA_21_3_L004,SRX24258491,SRR28690396
jurkat_mRNA_23_4_L001,SRX24258492,SRR28690395
jurkat_sgRNA_23_4_L001,SRX24258493,SRR28690394
jurkat_sgRNA_3_2_L001,SRX24258494,SRR28690393
jurkat_mRNA_23_4_L002,SRX24258495,SRR28690392
jurkat_sgRNA_23_4_L002,SRX24258496,SRR28690391
jurkat_mRNA_23_4_L003,SRX24258497,SRR28690390
jurkat_sgRNA_23_4_L003,SRX24258498,SRR28690389
jurkat_mRNA_23_4_L004,SRX24258499,SRR28690388
jurkat_sgRNA_23_4_L004,SRX24258500,SRR28690387
jurkat_mRNA_24_1_L001,SRX24258501,SRR28690386
jurkat_sgRNA_24_1_L001,SRX24258502,SRR28690385
jurkat_mRNA_24_1_L002,SRX24258503,SRR28690384
jurkat_sgRNA_24_1_L002,SRX24258504,SRR28690383
jurkat_mRNA_3_2_L002,SRX24258505,SRR28690382
jurkat_mRNA_24_1_L003,SRX24258506,SRR28690381
jurkat_sgRNA_24_1_L003,SRX24258507,SRR28690380
jurkat_mRNA_24_1_L004,SRX24258508,SRR28690379
jurkat_sgRNA_24_1_L004,SRX24258509,SRR28690378
jurkat_mRNA_24_2_L001,SRX24258510,SRR28690377
jurkat_sgRNA_24_2_L001,SRX24258511,SRR28690376
jurkat_mRNA_24_2_L002,SRX24258512,SRR28690375
jurkat_sgRNA_24_2_L002,SRX24258513,SRR28690374
jurkat_mRNA_24_2_L003,SRX24258514,SRR28690373
jurkat_sgRNA_24_2_L003,SRX24258515,SRR28690372
jurkat_sgRNA_25_4_L001,SRX24258516,SRR28690371
jurkat_mRNA_25_4_L002,SRX24258517,SRR28690370
jurkat_sgRNA_25_4_L002,SRX24258518,SRR28690369
jurkat_mRNA_25_4_L003,SRX24258519,SRR28690368
jurkat_sgRNA_25_4_L003,SRX24258520,SRR28690367
jurkat_mRNA_25_4_L004,SRX24258521,SRR28690366
jurkat_sgRNA_25_4_L004,SRX24258522,SRR28690365
jurkat_mRNA_1_2_L001,SRX24258523,SRR28690364
jurkat_mRNA_3_3_L001,SRX24258524,SRR28690363
jurkat_mRNA_26_1_L001,SRX24258525,SRR28690362
jurkat_sgRNA_26_1_L001,SRX24258526,SRR28690361
jurkat_mRNA_26_1_L002,SRX24258527,SRR28690360
jurkat_sgRNA_26_1_L002,SRX24258528,SRR28690359
jurkat_mRNA_26_1_L003,SRX24258529,SRR28690358
jurkat_sgRNA_26_1_L003,SRX24258530,SRR28690357
jurkat_mRNA_26_1_L004,SRX24258531,SRR28690356
jurkat_sgRNA_26_1_L004,SRX24258532,SRR28690355
jurkat_mRNA_26_2_L001,SRX24258533,SRR28690354
jurkat_sgRNA_26_2_L001,SRX24258534,SRR28690353
jurkat_sgRNA_3_3_L001,SRX24258535,SRR28690352
jurkat_mRNA_26_2_L002,SRX24258536,SRR28690351
jurkat_sgRNA_26_2_L002,SRX24258537,SRR28690350
jurkat_mRNA_26_2_L003,SRX24258538,SRR28690349
jurkat_sgRNA_26_2_L003,SRX24258539,SRR28690348
jurkat_sgRNA_3_4_L004,SRX24258540,SRR28690347
jurkat_mRNA_4_1_L001,SRX24258541,SRR28690346
jurkat_sgRNA_4_1_L001,SRX24258542,SRR28690345
jurkat_mRNA_4_1_L002,SRX24258543,SRR28690344
jurkat_sgRNA_4_1_L002,SRX24258544,SRR28690343
jurkat_mRNA_6_1_L004,SRX24258545,SRR28690342
jurkat_sgRNA_6_1_L004,SRX24258546,SRR28690341
jurkat_mRNA_6_2_L001,SRX24258547,SRR28690340
jurkat_sgRNA_6_2_L001,SRX24258548,SRR28690339
jurkat_sgRNA_1_3_L001,SRX24258549,SRR28690338
jurkat_mRNA_6_2_L002,SRX24258550,SRR28690337
jurkat_sgRNA_6_2_L002,SRX24258551,SRR28690336
jurkat_mRNA_6_2_L003,SRX24258552,SRR28690335
jurkat_sgRNA_6_2_L003,SRX24258553,SRR28690334
jurkat_mRNA_6_2_L004,SRX24258554,SRR28690333
jurkat_sgRNA_6_2_L004,SRX24258555,SRR28690332
jurkat_mRNA_6_3_L001,SRX24258556,SRR28690331
jurkat_sgRNA_6_3_L001,SRX24258557,SRR28690330
jurkat_mRNA_6_3_L002,SRX24258558,SRR28690329
jurkat_sgRNA_6_3_L002,SRX24258559,SRR28690328
jurkat_mRNA_1_3_L002,SRX24258560,SRR28690327
jurkat_mRNA_6_3_L003,SRX24258561,SRR28690326
jurkat_sgRNA_6_3_L003,SRX24258562,SRR28690325
jurkat_mRNA_6_3_L004,SRX24258563,SRR28690324
jurkat_sgRNA_6_3_L004,SRX24258564,SRR28690323
jurkat_mRNA_6_4_L001,SRX24258565,SRR28690322
jurkat_sgRNA_6_4_L001,SRX24258566,SRR28690321
jurkat_mRNA_6_4_L002,SRX24258567,SRR28690320
jurkat_sgRNA_6_4_L002,SRX24258568,SRR28690319
jurkat_mRNA_9_3_L002,SRX24258569,SRR28690318
jurkat_sgRNA_9_3_L002,SRX24258570,SRR28690317
jurkat_mRNA_9_3_L003,SRX24258571,SRR28690316
jurkat_sgRNA_9_3_L003,SRX24258572,SRR28690315
jurkat_mRNA_9_3_L004,SRX24258573,SRR28690314
jurkat_sgRNA_9_3_L004,SRX24258574,SRR28690313
jurkat_mRNA_1_4_L003,SRX24258575,SRR28690312
jurkat_mRNA_9_4_L001,SRX24258576,SRR28690311
jurkat_sgRNA_9_4_L001,SRX24258577,SRR28690310
jurkat_mRNA_9_4_L002,SRX24258578,SRR28690309
jurkat_sgRNA_9_4_L002,SRX24258579,SRR28690308
jurkat_mRNA_9_4_L003,SRX24258580,SRR28690307
jurkat_sgRNA_9_4_L003,SRX24258581,SRR28690306
jurkat_mRNA_9_4_L004,SRX24258582,SRR28690305
jurkat_sgRNA_9_4_L004,SRX24258583,SRR28690304
jurkat_mRNA_10_1_L001,SRX24258584,SRR28690303
jurkat_sgRNA_10_1_L001,SRX24258585,SRR28690302
jurkat_sgRNA_1_4_L003,SRX24258586,SRR28690301
jurkat_mRNA_10_1_L002,SRX24258587,SRR28690300
jurkat_sgRNA_10_1_L002,SRX24258588,SRR28690299
jurkat_mRNA_10_1_L003,SRX24258589,SRR28690298
jurkat_sgRNA_10_1_L003,SRX24258590,SRR28690297
jurkat_mRNA_10_1_L004,SRX24258591,SRR28690296
jurkat_sgRNA_10_1_L004,SRX24258592,SRR28690295
jurkat_sgRNA_14_4_L004,SRX24258593,SRR28690294
jurkat_mRNA_15_1_L001,SRX24258594,SRR28690293
jurkat_sgRNA_15_1_L001,SRX24258595,SRR28690292
jurkat_sgRNA_2_2_L003,SRX24258596,SRR28690291
jurkat_mRNA_15_1_L002,SRX24258597,SRR28690290
jurkat_sgRNA_15_1_L002,SRX24258598,SRR28690289
jurkat_mRNA_15_1_L003,SRX24258599,SRR28690288
jurkat_sgRNA_15_1_L003,SRX24258600,SRR28690287
jurkat_mRNA_15_1_L004,SRX24258601,SRR28690286
jurkat_sgRNA_15_1_L004,SRX24258602,SRR28690285
jurkat_mRNA_15_2_L001,SRX24258603,SRR28690284
jurkat_sgRNA_15_2_L001,SRX24258604,SRR28690283
jurkat_mRNA_15_2_L002,SRX24258605,SRR28690282
jurkat_sgRNA_15_2_L002,SRX24258606,SRR28690667
jurkat_mRNA_2_2_L004,SRX24258607,SRR28690666
jurkat_mRNA_15_2_L003,SRX24258608,SRR28690665
jurkat_sgRNA_15_2_L003,SRX24258609,SRR28690664
jurkat_mRNA_15_2_L004,SRX24258610,SRR28690663
jurkat_sgRNA_15_2_L004,SRX24258611,SRR28690662
jurkat_mRNA_15_3_L001,SRX24258612,SRR28690661
jurkat_sgRNA_15_3_L001,SRX24258613,SRR28690660
jurkat_mRNA_15_3_L002,SRX24258614,SRR28690659
jurkat_sgRNA_15_3_L002,SRX24258615,SRR28690658
jurkat_mRNA_15_3_L003,SRX24258616,SRR28690657
jurkat_sgRNA_17_3_L003,SRX24258617,SRR28690656
jurkat_mRNA_17_3_L004,SRX24258618,SRR28690655
jurkat_sgRNA_17_3_L004,SRX24258619,SRR28690654
jurkat_mRNA_17_4_L001,SRX24258620,SRR28690653
jurkat_sgRNA_17_4_L001,SRX24258621,SRR28690652
jurkat_mRNA_17_4_L002,SRX24258622,SRR28690651
jurkat_sgRNA_17_4_L002,SRX24258623,SRR28690650
jurkat_mRNA_2_3_L004,SRX24258624,SRR28690649
jurkat_mRNA_17_4_L003,SRX24258625,SRR28690648
jurkat_sgRNA_17_4_L003,SRX24258626,SRR28690647
jurkat_mRNA_17_4_L004,SRX24258627,SRR28690646
jurkat_sgRNA_17_4_L004,SRX24258628,SRR28690645
jurkat_mRNA_18_1_L001,SRX24258629,SRR28690644
jurkat_sgRNA_18_1_L001,SRX24258630,SRR28690643
jurkat_mRNA_18_1_L002,SRX24258631,SRR28690642
jurkat_sgRNA_18_1_L002,SRX24258632,SRR28690641
jurkat_mRNA_18_1_L003,SRX24258633,SRR28690640
jurkat_sgRNA_18_1_L003,SRX24258634,SRR28690639
jurkat_sgRNA_2_3_L004,SRX24258635,SRR28690638
jurkat_mRNA_18_1_L004,SRX24258636,SRR28690637
jurkat_sgRNA_18_1_L004,SRX24258637,SRR28690636
jurkat_mRNA_18_2_L001,SRX24258638,SRR28690635
jurkat_sgRNA_18_2_L001,SRX24258639,SRR28690634
jurkat_mRNA_18_2_L002,SRX24258640,SRR28690633
jurkat_sgRNA_19_1_L001,SRX24258641,SRR28690632
jurkat_mRNA_19_1_L002,SRX24258642,SRR28690631
jurkat_sgRNA_19_1_L002,SRX24258643,SRR28690630
jurkat_mRNA_2_4_L002,SRX24258644,SRR28690629
jurkat_mRNA_19_1_L003,SRX24258645,SRR28690628
jurkat_sgRNA_19_1_L003,SRX24258646,SRR28690627
jurkat_mRNA_19_1_L004,SRX24258647,SRR28690626
jurkat_sgRNA_19_1_L004,SRX24258648,SRR28690625
jurkat_mRNA_19_2_L001,SRX24258649,SRR28690624
jurkat_sgRNA_19_2_L001,SRX24258650,SRR28690623
jurkat_mRNA_19_2_L002,SRX24258651,SRR28690622
jurkat_sgRNA_19_2_L002,SRX24258652,SRR28690621
jurkat_mRNA_19_2_L003,SRX24258653,SRR28690620
jurkat_sgRNA_19_2_L003,SRX24258654,SRR28690619
jurkat_sgRNA_2_4_L002,SRX24258655,SRR28690618
jurkat_mRNA_19_2_L004,SRX24258656,SRR28690617
jurkat_sgRNA_19_2_L004,SRX24258657,SRR28690616
jurkat_mRNA_19_3_L001,SRX24258658,SRR28690615
jurkat_sgRNA_19_3_L001,SRX24258659,SRR28690614
jurkat_mRNA_19_3_L002,SRX24258660,SRR28690613
jurkat_sgRNA_19_3_L002,SRX24258661,SRR28690612
jurkat_mRNA_19_3_L003,SRX24258662,SRR28690611
jurkat_sgRNA_19_3_L003,SRX24258663,SRR28690610
jurkat_mRNA_19_3_L004,SRX24258664,SRR28690609
jurkat_sgRNA_21_3_L004,SRX24258665,SRR28690608
jurkat_mRNA_21_4_L001,SRX24258666,SRR28690607
jurkat_sgRNA_21_4_L001,SRX24258667,SRR28690606
jurkat_mRNA_21_4_L002,SRX24258668,SRR28690605
jurkat_sgRNA_21_4_L002,SRX24258669,SRR28690604
jurkat_mRNA_21_4_L003,SRX24258670,SRR28690603
jurkat_sgRNA_21_4_L003,SRX24258671,SRR28690602
jurkat_sgRNA_3_1_L002,SRX24258672,SRR28690601
jurkat_mRNA_21_4_L004,SRX24258673,SRR28690600
jurkat_sgRNA_21_4_L004,SRX24258674,SRR28690599
jurkat_mRNA_22_1_L001,SRX24258675,SRR28690598
jurkat_sgRNA_22_1_L001,SRX24258676,SRR28690597
jurkat_mRNA_22_1_L002,SRX24258677,SRR28690596
jurkat_sgRNA_22_1_L002,SRX24258678,SRR28690595
jurkat_mRNA_22_1_L003,SRX24258679,SRR28690594
jurkat_sgRNA_22_1_L003,SRX24258680,SRR28690593
jurkat_mRNA_22_1_L004,SRX24258681,SRR28690592
jurkat_sgRNA_22_1_L004,SRX24258682,SRR28690591
jurkat_mRNA_3_1_L003,SRX24258683,SRR28690590
jurkat_mRNA_22_2_L001,SRX24258684,SRR28690589
jurkat_sgRNA_22_2_L001,SRX24258685,SRR28690588
jurkat_mRNA_22_2_L002,SRX24258686,SRR28690587
jurkat_sgRNA_22_2_L002,SRX24258687,SRR28690586
jurkat_mRNA_22_2_L003,SRX24258688,SRR28690585
jurkat_sgRNA_3_2_L002,SRX24258689,SRR28690584
jurkat_mRNA_24_2_L004,SRX24258690,SRR28690583
jurkat_sgRNA_24_2_L004,SRX24258691,SRR28690582
jurkat_mRNA_24_3_L001,SRX24258692,SRR28690581
jurkat_sgRNA_24_3_L001,SRX24258693,SRR28690580
jurkat_mRNA_24_3_L002,SRX24258694,SRR28690579
jurkat_sgRNA_24_3_L002,SRX24258695,SRR28690578
jurkat_mRNA_24_3_L003,SRX24258696,SRR28690577
jurkat_sgRNA_24_3_L003,SRX24258697,SRR28690576
jurkat_mRNA_24_3_L004,SRX24258698,SRR28690575
jurkat_sgRNA_24_3_L004,SRX24258699,SRR28690574
jurkat_mRNA_3_2_L003,SRX24258700,SRR28690573
jurkat_mRNA_24_4_L001,SRX24258701,SRR28690572
jurkat_sgRNA_24_4_L001,SRX24258702,SRR28690571
jurkat_mRNA_24_4_L002,SRX24258703,SRR28690570
jurkat_sgRNA_24_4_L002,SRX24258704,SRR28690569
jurkat_mRNA_24_4_L003,SRX24258705,SRR28690568
jurkat_sgRNA_24_4_L003,SRX24258706,SRR28690567
jurkat_mRNA_24_4_L004,SRX24258707,SRR28690566
jurkat_sgRNA_24_4_L004,SRX24258708,SRR28690565
jurkat_mRNA_25_1_L001,SRX24258709,SRR28690564
jurkat_sgRNA_25_1_L001,SRX24258710,SRR28690563
jurkat_sgRNA_3_2_L003,SRX24258711,SRR28690562
jurkat_mRNA_25_1_L002,SRX24258712,SRR28690561
jurkat_mRNA_27_1_L003,SRX24258713,SRR28690560
jurkat_sgRNA_27_1_L003,SRX24258714,SRR28690559
jurkat_mRNA_27_1_L004,SRX24258715,SRR28690558
jurkat_sgRNA_27_1_L004,SRX24258716,SRR28690557
jurkat_mRNA_3_3_L003,SRX24258717,SRR28690556
jurkat_mRNA_27_2_L001,SRX24258718,SRR28690555
jurkat_sgRNA_27_2_L001,SRX24258719,SRR28690554
jurkat_mRNA_27_2_L002,SRX24258720,SRR28690553
jurkat_sgRNA_27_2_L002,SRX24258721,SRR28690552
jurkat_mRNA_27_2_L003,SRX24258722,SRR28690551
jurkat_sgRNA_27_2_L003,SRX24258723,SRR28690550
jurkat_mRNA_27_2_L004,SRX24258724,SRR28690549
jurkat_sgRNA_27_2_L004,SRX24258725,SRR28690548
jurkat_mRNA_27_3_L001,SRX24258726,SRR28690547
