exp_name,sample,accession,lane,organism
jurkat_mRNA_28_4,SRX24257841,SRR28690024,L003,Homo sapiens
jurkat_mRNA_28_4,SRX24257841,SRR28690026,L002,Homo sapiens
jurkat_mRNA_28_4,SRX24257841,SRR28690022,L004,Homo sapiens
jurkat_mRNA_28_4,SRX24257841,SRR28690029,L001,Homo sapiens
jurkat_mRNA_3_4,SRX24257848,SRR28690038,L001,Homo sapiens
jurkat_mRNA_3_4,SRX24257848,SRR28690019,L002,Homo sapiens
jurkat_mRNA_3_4,SRX24257848,SRR28690015,L004,Homo sapiens
jurkat_mRNA_3_4,SRX24257848,SRR28690017,L003,Homo sapiens
jurkat_mRNA_4_1,SRX24257853,SRR28690346,L001,Homo sapiens
jurkat_mRNA_4_1,SRX24257853,SRR28690012,L004,Homo sapiens
jurkat_mRNA_4_1,SRX24257853,SRR28690014,L003,Homo sapiens
jurkat_mRNA_4_1,SRX24257853,SRR28690344,L002,Homo sapiens
jurkat_mRNA_4_2,SRX24257857,SRR28690010,L001,Homo sapiens
jurkat_mRNA_4_2,SRX24257857,SRR28690008,L002,Homo sapiens
jurkat_mRNA_4_2,SRX24257857,SRR28690006,L003,Homo sapiens
jurkat_mRNA_4_2,SRX24257857,SRR28690003,L004,Homo sapiens
jurkat_mRNA_4_3,SRX24257866,SRR28689997,L003,Homo sapiens
jurkat_mRNA_4_3,SRX24257866,SRR28690001,L001,Homo sapiens
jurkat_mRNA_4_3,SRX24257866,SRR28689995,L004,Homo sapiens
jurkat_mRNA_4_3,SRX24257866,SRR28689999,L002,Homo sapiens
jurkat_mRNA_1_2,SRX24257874,SRR28690259,L004,Homo sapiens
jurkat_mRNA_1_2,SRX24257874,SRR28690279,L002,Homo sapiens
jurkat_mRNA_1_2,SRX24257874,SRR28690364,L001,Homo sapiens
jurkat_mRNA_1_2,SRX24257874,SRR28689993,L003,Homo sapiens
jurkat_mRNA_4_4,SRX24257875,SRR28690276,L003,Homo sapiens
jurkat_mRNA_4_4,SRX24257875,SRR28690274,L004,Homo sapiens
jurkat_mRNA_4_4,SRX24257875,SRR28690278,L002,Homo sapiens
jurkat_mRNA_4_4,SRX24257875,SRR28689992,L001,Homo sapiens
jurkat_mRNA_8_1,SRX24257877,SRR28689777,L003,Homo sapiens
jurkat_mRNA_8_1,SRX24257877,SRR28689779,L002,Homo sapiens
jurkat_mRNA_8_1,SRX24257877,SRR28689781,L001,Homo sapiens
jurkat_mRNA_8_1,SRX24257877,SRR28689990,L004,Homo sapiens
jurkat_mRNA_8_2,SRX24257879,SRR28689982,L004,Homo sapiens
jurkat_mRNA_8_2,SRX24257879,SRR28689984,L003,Homo sapiens
